恋染紅葉,3
ニセコイ,5
リバーシブルマン,2
ばくおん!!,3
テラフォーマーズ,4
エウレカセブンAO,3
エウレカセブンAO Save A Prayer,3
新世紀エヴァンゲリオン,14
神様ドォルズ,12
鉄のラインバレル,21
